abbreviation,expansion
AGL,Above Ground Level
ATA,Actual Time Of Arrival
ATD,Actual Time Of Departure
AERO,Aeronautical
AIM,Aeronautical Information Manual
ACR,Air Carrier
AC,Air Conditioning
ADC,Air Data Computer
ADIZ,Air Defense Identification Zone
ADG,Air Driven Generator
AFB,Air Force Base
ANG,Air National Guard
ARSR,Air Route Surveillance Radar
ARTCC,Air Route Traffic Control Center
ATA,Air Traffic Area
ATC,Air Traffic Control
ACFT,Aircraft
ATP,Airline Transport Pilot Certificate
ATR,Airline Transport Rating
ARPT(S),Airport
AFD,Airport/Facility Directory
ASR,Airport Surveillance Radar
ATCT,Airport Traffic Control Tower
ATOG,Allowable Takeoff Gross Weight
AC,Alternating Current
ALT(S),Altitude
ALTDEV,Altitude Deviation
AMB,Ambiguity
AM,Ante Meridiem
APCH,Approach
APCH CTL,Approach Control
APPROX,Approximately
RNAV,Area Navigation
ARR,"Arrival, Arrive"
ASAP,As Soon As Possible
ATTN,Attention
ADI,Attitude Direction Indicator
AUTH,Authority/Authorized
AFSS,Automated Flight Service Station
ARTS,Automated Radar Terminal Systems
ASOS/AWOS,Automated Surface Observation Sys
AUTO,Automatic
ACARS,Automatic Communications Addressing & Reporting System
ADF,Automatic Direction Finder
ALS,Approach Lighting System
ATIS,Automatic Terminal Information Service
AWOS,Automatic Weather Observing/Reporting System
AFDS,Autopilot and Flight Director System
AUX,Auxiliary
APU,Auxiliary Power Unit
AVG,Average
AVGAS,Aviation Gasoline
AME,Aviation Medical Examiner
ASRS,Aviation Safety Reporting System
BC,Back Course
BAL,Balance
BASE OPS,Base Operations Office
BTWN,Between
BVLOS,Beyond Visual Line Of Sight
BFR,Biennial Flight Review
BRITE,Bright Radar Indicator Tower Equipment
BCSTN,Broadcast Station
BKN,Broken
CAB,Cabin Attendant
CA,Captain
CARB,Carburetor
CAT,Category
CRT,Cathode Ray Tube
DH,Decision Height
DVFR,Defense Visual Flight Rules
DEG(S),Degree
DEMO,Demonstration
DEPT(S),Department
DOD,Department Of Defense
DOE,Department Of Energy
DOT,Department Of Transportation
DEP(S),Departure
DSND,Descend
DSCNT,Descent
DEST(S),Destination
DAA,Detect and Avoid
DEV(S),Deviation
DGPS,Differential Global Positioning System
DFDR,Digital Flight Data Recorder
DFGS,Digital Flight Guidance System
DF,Direction Finder
DME,Distance Measuring Equipment
DISTR,Distraction
E,East
EBND,Eastbound
EDT,Eastern Daylight Time
EST,Eastern Standard Time
EMI,Electromagnetic Interference
ECAM,Electronic Centralized Aircraft Monitoring
EFIS,Electronic Flight Instrument System
ESC,Electronic Speed Control
EMER(S),Emergency
ECOA,Emergency Certificate Of Authorization
ELT,Emergency Locator Transmitter
EMS,Emergency Medical Service
ENRTE,En Route
